"","parameter","group","coef","level","inv_metric","mean","step_size","Model"
"1","Intercept",NA,NA,NA,0.008516505,-1.46398707625,0.026863425,"gam_ddm4_muller"
"2","bs[1]",NA,NA,NA,0.005500695,NA,0.026863425,"gam_ddm4_muller"
"3","bs[2]",NA,NA,NA,0.00455532,NA,0.026863425,"gam_ddm4_muller"
"4","bs[3]",NA,NA,NA,0.006232295,NA,0.026863425,"gam_ddm4_muller"
"5","zs_1_1[1]",NA,NA,NA,1.040253,NA,0.026863425,"gam_ddm4_muller"
"6","zs_1_1[2]",NA,NA,NA,0.94032775,NA,0.026863425,"gam_ddm4_muller"
"7","zs_1_1[3]",NA,NA,NA,0.8955005,NA,0.026863425,"gam_ddm4_muller"
"8","zs_1_1[4]",NA,NA,NA,0.979498,NA,0.026863425,"gam_ddm4_muller"
"9","zs_1_1[5]",NA,NA,NA,0.92198,NA,0.026863425,"gam_ddm4_muller"
"10","zs_1_1[6]",NA,NA,NA,0.75384125,NA,0.026863425,"gam_ddm4_muller"
"11","zs_1_1[7]",NA,NA,NA,0.799513,NA,0.026863425,"gam_ddm4_muller"
"12","zs_1_1[8]",NA,NA,NA,0.67283425,NA,0.026863425,"gam_ddm4_muller"
"13","zs_1_1[9]",NA,NA,NA,0.44141475,NA,0.026863425,"gam_ddm4_muller"
"14","zs_1_2[1]",NA,NA,NA,0.28923425,NA,0.026863425,"gam_ddm4_muller"
"15","zs_1_2[2]",NA,NA,NA,0.23827975,NA,0.026863425,"gam_ddm4_muller"
"16","zs_1_2[3]",NA,NA,NA,0.01956695,NA,0.026863425,"gam_ddm4_muller"
"17","zs_1_2[4]",NA,NA,NA,0.2005605,NA,0.026863425,"gam_ddm4_muller"
"18","zs_1_2[5]",NA,NA,NA,0.10374705,NA,0.026863425,"gam_ddm4_muller"
"19","zs_1_2[6]",NA,NA,NA,0.029712275,NA,0.026863425,"gam_ddm4_muller"
"20","zs_1_3[1]",NA,NA,NA,0.896708,NA,0.026863425,"gam_ddm4_muller"
"21","zs_1_3[2]",NA,NA,NA,0.9051335,NA,0.026863425,"gam_ddm4_muller"
