"Participant","Dataset","Illusion_Type","Block","Trial","Illusion_Difference","Illusion_Strength","ISI","Error","RT","Response"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",38,-0.20566,-0.15,0.693,0,1.113,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",39,-0.09684,-0.45,1.053,0,1.305,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",40,0.20566,0.15,0.648,0,1.054,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",41,-0.3383,1.05,0.7,0,1.505,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",42,0.5,-0.45,0.962,0,0.733,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",43,0.20566,1.35,0.665,0,1.958,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",44,-0.5,-1.35,0.711,0,0.656,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",45,0.09684,0.45,0.885,1,2.736,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",46,0.09684,0.15,0.864,0,2.39,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",47,0.09684,0.75,1.082,1,1.772,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",48,0.5,-0.15,1.003,0,0.851,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",49,0.3383,0.75,1.098,0,1.036,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",50,0.20566,0.45,0.832,0,2.182,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",51,-0.09684,-1.05,1.023,0,0.688,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",52,0.5,0.75,1.044,0,0.874,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",53,0.3383,0.45,0.768,0,1.167,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",54,-0.20566,0.15,0.826,0,0.741,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",55,-0.5,-0.45,0.943,0,0.703,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",56,-0.20566,-0.45,0.819,0,1.212,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",57,-0.5,0.75,1.014,0,0.632,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",58,0.20566,-1.35,1.034,0,0.756,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",59,-0.3383,0.15,0.683,0,0.859,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",60,-0.09684,1.05,1.096,0,1.703,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",61,-0.20566,1.35,0.677,0,1.434,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",62,0.3383,0.15,0.824,0,0.959,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",63,0.5,1.35,0.738,0,0.723,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",64,0.5,-0.75,0.926,0,0.961,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",65,0.3383,-0.45,1.044,0,0.971,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",66,0.3383,-0.15,0.873,0,0.83,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",67,0.09684,-1.05,1.072,0,1.246,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",68,-0.09684,-1.35,0.788,0,0.682,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",69,0.5,-1.05,0.64,0,0.934,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",70,0.5,1.05,0.834,0,0.845,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",71,0.5,0.45,0.624,0,0.934,"left"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",72,0.09684,1.05,1.023,1,0.655,"right"
"IllusionGamePCS_S328","IllusionGamePCS","Ebbinghaus","A",73,-0.3383,-0.75,0.763,0,0.812,"right"
